month,pd,pb,pe
Jan 2000,5.311050181,1.445262029,3.695552881
Feb 2000,5.429869055,1.553916084,3.788974385
Mar 2000,5.493946853,1.590366995,3.820005252
Apr 2000,5.474707258,1.605969069,3.88841781
May 2000,5.45307212,1.633036294,3.915735016
Jun 2000,5.423873323,1.655700567,3.938930237
Jul 2000,5.437561227,1.669957578,3.977919659
Aug 2000,5.430277107,1.60629306,3.967278443
Sep 2000,5.391914194,1.557524214,3.917107696
Oct 2000,5.540430632,1.580973372,3.93957112
Nov 2000,5.607160087,1.636891624,3.994909351
Dec 2000,5.634197946,1.634792387,3.993398975
Jan 2001,5.642835745,1.622803447,3.979350336
Feb 2001,5.601973045,1.556540197,3.879298551
Mar 2001,5.65420071,1.5900728,3.921585446
Apr 2001,5.580309684,1.570750896,3.927633674
May 2001,5.314472842,1.593665243,3.950236243
Jun 2001,5.081751019,1.59255745,3.949807873
Jul 2001,4.914116105,1.427472509,3.804449838
Aug 2001,4.892790422,1.347845558,3.767557304
Sep 2001,4.835430449,1.297435253,3.718021004
Oct 2001,4.779510563,1.248440621,3.669499136
Nov 2001,4.812326603,1.286420972,3.707164676
Dec 2001,4.751978579,1.224408584,3.646650254
Jan 2002,4.640441662,1.11088185,3.532335675
Feb 2002,4.672496749,1.136537448,3.556412325
Mar 2002,4.755310416,1.190662503,3.653869764
Apr 2002,4.804930939,1.220983542,3.770901255
May 2002,4.823442102,1.120181926,3.677111611
Jun 2002,4.988479315,1.244038389,3.798449789
Jul 2002,4.823021037,1.1948911,3.75494602
Aug 2002,4.828298762,1.177984632,3.761486667
Sep 2002,4.789476227,1.122644418,3.707119065
Oct 2002,4.755829017,1.049854063,3.652799987
Nov 2002,4.703925547,0.98673469,3.591631757
Dec 2002,4.667842593,0.935431237,3.54390763
Jan 2003,4.767607607,1.025446708,3.618956902
Feb 2003,4.780306188,1.036934494,3.609915152
Mar 2003,4.766947342,1.025238526,3.585835116
Apr 2003,4.730234031,0.987239401,3.584794737
May 2003,4.761486617,1.023180047,3.546266061
Jun 2003,4.599247574,0.950809762,3.474013909
Jul 2003,4.65233852,0.933773571,3.44506914
Aug 2003,4.628089541,0.889870442,3.403310319
Sep 2003,4.550274209,0.844624178,3.3570914
Oct 2003,4.513187688,0.751240509,3.266394386
Nov 2003,4.521842721,0.77460048,3.289262964
Dec 2003,4.555163396,0.804650473,3.317648618
Jan 2004,4.635215948,0.878339854,3.380825503
Feb 2004,4.699580093,0.937266323,3.443573248
Mar 2004,4.722432588,0.964768548,3.467807624
Apr 2004,4.576139112,0.86051956,3.295292044
May 2004,4.490689429,0.837535576,3.270151987
Jun 2004,4.321275797,0.714863187,3.146983704
Jul 2004,4.302951719,0.711277425,3.134099152
Aug 2004,4.272813897,0.655809429,3.025773881
Sep 2004,4.359856091,0.70860069,3.079986529
Oct 2004,4.279823895,0.634542533,2.953103428
Nov 2004,4.324553048,0.65841426,2.972605411
Dec 2004,4.259864955,0.588320817,2.909470137
Jan 2005,4.202543688,0.527067645,2.853703381
Feb 2005,4.299224542,0.613861072,2.936059206
Mar 2005,4.208177036,0.489765197,2.834450219
Apr 2005,4.145248338,0.445583223,2.734348459
May 2005,3.961579302,0.377403355,2.65727366
Jun 2005,3.8835834,0.383079916,2.664435549
Jul 2005,3.816510854,0.361554388,2.644997664
Aug 2005,3.874933959,0.419272333,2.714406436
Sep 2005,3.872765666,0.422899454,2.719301221
Oct 2005,3.835860307,0.341782103,2.644964461
Nov 2005,3.822846763,0.326754672,2.619029436
Dec 2005,3.870736806,0.363575656,2.656003793
Jan 2006,3.951427134,0.44296827,2.739576314
Feb 2006,3.981701873,0.45762359,2.760261981
Mar 2006,3.978706139,0.433759932,2.767559675
Apr 2006,4.072068662,0.494720552,2.899280894
May 2006,4.229244527,0.653652499,3.050545167
Jun 2006,4.195733604,0.675457034,3.089253051
Jul 2006,4.109198952,0.604042939,3.010821538
Aug 2006,4.168832806,0.626602871,2.985800254
Sep 2006,4.202603434,0.677499079,3.03846804
Oct 2006,4.259344774,0.668896755,2.978474337
Nov 2006,4.40315373,0.784925582,3.101632577
Dec 2006,4.549589487,0.919365857,3.240484984
Jan 2007,4.748516657,1.096975744,3.417910179
Feb 2007,4.860683544,1.200857499,3.505819392
Mar 2007,5.002069744,1.286733839,3.553364362
Apr 2007,5.293352158,1.491835858,3.669069785
May 2007,5.32050933,1.587757337,3.765727181
Jun 2007,5.064255415,1.511660609,3.692839079
Jul 2007,5.17285525,1.689027839,3.86289847
Aug 2007,5.321632022,1.807217562,3.878293871
Sep 2007,5.409164814,1.870001236,3.937877087
Oct 2007,5.43977795,1.763609141,3.819668321
Nov 2007,5.318205898,1.608446643,3.665467329
Dec 2007,5.501326456,1.755782916,3.819433005
Jan 2008,5.404807738,1.64343723,3.7196641
Feb 2008,5.472015031,1.673493243,3.732439982
Mar 2008,5.277910234,1.419817356,3.440904659
Apr 2008,5.160172714,1.394639858,3.391233855
May 2008,4.942525231,1.31284795,3.305546685
Jun 2008,4.520885624,1.057083354,3.039432381
Jul 2008,4.515686271,1.081572509,3.063364853
Aug 2008,4.35495356,0.855100757,2.784543313
Sep 2008,4.25295509,0.790586491,2.720948958
Oct 2008,3.947220307,0.452624922,2.407790378
Nov 2008,4.071820567,0.581404213,2.537266656
Dec 2008,4.132784067,0.599931468,2.539465104
Jan 2009,4.27020534,0.7285053,2.677130194
Feb 2009,4.345562185,0.785674675,2.739669084
Mar 2009,4.566948924,0.952564773,3.006721982
Apr 2009,4.71350964,0.959065073,3.167104454
May 2009,4.858050946,0.989449974,3.199982757
Jun 2009,4.762072627,1.098486628,3.304482372
Jul 2009,4.95014697,1.223662776,3.401748619
Aug 2009,4.727980202,0.974502637,3.120822105
Sep 2009,4.781971027,1.028142205,3.179049066
Oct 2009,5.057136949,1.053721192,3.202698847
Nov 2009,5.160050039,1.139294414,3.281142269
Dec 2009,5.217745622,1.17565825,3.328278679
Jan 2010,5.173078833,1.105954271,3.257632008
Feb 2010,5.213326717,1.135355319,3.278299539
Mar 2010,5.233476102,1.13627663,3.199722547
Apr 2010,5.114320126,0.97765706,2.975973048
May 2010,4.563084019,0.886575957,2.884787246
Jun 2010,4.220833665,0.806432699,2.80658562
Jul 2010,4.229049722,0.911547055,2.916074572
Aug 2010,4.264977057,0.933741609,2.872767952
Sep 2010,4.27645776,0.947182052,2.88109262
Oct 2010,4.418299229,1.021477213,2.93523908
Nov 2010,4.498988516,0.95791086,2.867928045
Dec 2010,4.514930808,0.951770613,2.874850878
Jan 2011,4.507300186,0.92800434,2.859551761
Feb 2011,4.571802441,0.980859242,2.912844448
Mar 2011,4.572406768,0.940052017,2.897412835
Apr 2011,4.583777481,0.873395867,2.826202897
May 2011,4.705546525,0.813255707,2.768464177
Jun 2011,4.175957805,0.830436031,2.784790716
Jul 2011,4.172650608,0.818491498,2.773682104
Aug 2011,4.134420825,0.762867409,2.686323413
Sep 2011,3.961761548,0.669611433,2.594335982
Oct 2011,4.007116951,0.680643677,2.612832682
Nov 2011,3.952763358,0.62939562,2.56236386
Dec 2011,3.886636303,0.558388929,2.500757639
Jan 2012,3.922709885,0.590507923,2.534700545
Feb 2012,3.998936006,0.661195789,2.603323267
Mar 2012,3.935906993,0.562929395,2.540383021
Apr 2012,3.996507855,0.575146295,2.581527937
May 2012,3.941502356,0.572797491,2.580365392
Jun 2012,3.897398814,0.510656264,2.520565046
Jul 2012,3.767558476,0.450315547,2.463512245
Aug 2012,3.725119864,0.421986346,2.442835758
Sep 2012,3.743920025,0.446156492,2.468723593
Oct 2012,3.738803033,0.408175828,2.454031925
Nov 2012,3.689329621,0.350266179,2.399831309
Dec 2012,3.841002546,0.49286834,2.544526481
Jan 2013,3.898394814,0.545634128,2.602858987
Feb 2013,3.908017247,0.547883262,2.605768224
Mar 2013,3.852003488,0.470340903,2.535266342
Apr 2013,3.840895759,0.402565319,2.481674306
May 2013,3.947398915,0.480058465,2.555212001
Jun 2013,3.720200779,0.324084548,2.400881647
Jul 2013,3.67416215,0.334288118,2.380666351
Aug 2013,3.731255152,0.383798592,2.404534821
Sep 2013,3.772090368,0.423192623,2.445569935
Oct 2013,3.759209024,0.373777852,2.389964091
Nov 2013,3.807339925,0.418961538,2.432788303
Dec 2013,3.777196254,0.382411253,2.402857801
Jan 2014,3.759832715,0.361436742,2.382037923
Feb 2014,3.772206832,0.372279105,2.39199568
Mar 2014,3.757774895,0.333947482,2.364544964
Apr 2014,3.73312082,0.281954593,2.339696719
May 2014,3.739332961,0.296096567,2.351366634
Jun 2014,3.734128853,0.313553672,2.370704
Jul 2014,3.660440664,0.386788893,2.444693482
Aug 2014,3.677304355,0.394790367,2.419548398
Sep 2014,3.766027555,0.47369571,2.489451075
Oct 2014,3.775259214,0.454746027,2.483001453
Nov 2014,3.869490165,0.546879678,2.579353599
Dec 2014,4.029837967,0.69640647,2.744969692
Jan 2015,4.042407582,0.70700574,2.753227513
Feb 2015,4.08359323,0.749928267,2.795624781
Mar 2015,4.248282437,0.869289571,2.962378024
Apr 2015,4.399628021,0.985290329,3.113865304
May 2015,4.436103769,1.060647421,3.176061738
Jun 2015,4.520264718,0.97366122,3.092890394
Jul 2015,4.102415857,0.791349676,2.919511924
Aug 2015,3.952321937,0.615646904,2.714984608
Sep 2015,3.92011492,0.567590556,2.664657379
Oct 2015,4.064108402,0.68988896,2.815038578
Nov 2015,4.126260717,0.744432481,2.864665935
Dec 2015,4.196090968,0.799019168,2.924633231
Jan 2016,3.909155607,0.512705629,2.649378377
Feb 2016,3.887481625,0.489375952,2.624514285
Mar 2016,4.028413857,0.606775423,2.782389978
Apr 2016,4.027321006,0.538439009,2.757411316
May 2016,4.035340742,0.538181483,2.758852454
Jun 2016,4.007384825,0.565258078,2.785617256
Jul 2016,4.085406282,0.57865895,2.79097035
Aug 2016,4.093163685,0.612712952,2.865080509
Sep 2016,4.086432041,0.597888252,2.841682058
Oct 2016,4.126368233,0.580617312,2.807360605
Nov 2016,4.176644881,0.626149183,2.852306514
Dec 2016,4.14119311,0.578055893,2.799792448
Jan 2017,4.154543104,0.589611346,2.810000511
Feb 2017,4.1880318,0.617301987,2.840511667
Mar 2017,4.186562755,0.59974819,2.875845803
Apr 2017,4.1570472,0.545489532,2.803091235
May 2017,4.113161456,0.524001247,2.789330518
Jun 2017,4.160691593,0.5629339,2.828794181
Jul 2017,4.120841439,0.594722623,2.85978893
Aug 2017,4.1470418,0.60645365,2.869984457
Sep 2017,4.163117601,0.612961808,2.878659061
Oct 2017,4.178600437,0.600178286,2.852503342
Nov 2017,4.163854692,0.575362635,2.833593215
Dec 2017,4.171833182,0.583542365,2.839596079
Jan 2018,4.217011318,0.627641786,2.891636607
Feb 2018,4.161445593,0.573181214,2.834287079
Mar 2018,4.151795938,0.539087498,2.804580354
Apr 2018,4.130292095,0.472019465,2.727185004
May 2018,4.047769859,0.474784359,2.731720418
Jun 2018,3.862029494,0.392814022,2.649185691
Jul 2018,3.865946185,0.400342225,2.657550162
Aug 2018,3.810313659,0.334257225,2.563304102
Sep 2018,3.833200262,0.361273379,2.590891718
Oct 2018,3.742885465,0.238861426,2.482244125
Nov 2018,3.762909172,0.253694126,2.493210781
Dec 2018,3.726463015,0.214715348,2.455241472
Jan 2019,3.765179064,0.249238368,2.495797217
Feb 2019,3.908351672,0.393758414,2.635317924
Mar 2019,3.97496988,0.442958209,2.696794811
Apr 2019,3.965096479,0.40527034,2.666533198
May 2019,3.913874173,0.343978797,2.60622004
Jun 2019,3.86856126,0.373388635,2.637666759
Jul 2019,3.866848171,0.364645204,2.626687374
Aug 2019,3.856168504,0.350360964,2.606539482
Sep 2019,3.872699319,0.358253937,2.615366924
Oct 2019,3.892555713,0.338875788,2.617918787
Nov 2019,3.881603259,0.32337279,2.602690011
Dec 2019,3.955452708,0.391908184,2.670545083
Jan 2020,3.953111227,0.383058909,2.661778741
Feb 2020,3.951583143,0.372959977,2.655179164
Mar 2020,3.902211511,0.308017329,2.596646432
Apr 2020,3.964591283,0.322995026,2.685543659
May 2020,3.993099197,0.32630391,2.68683149
Jun 2020,4.016317141,0.394334979,2.756848621
Jul 2020,4.051529413,0.513526806,2.871780326
Aug 2020,4.084091343,0.53836859,2.924667329
Sep 2020,4.039309971,0.483661801,2.870620521
Oct 2020,4.047407192,0.464114577,2.832087116
Nov 2020,4.087987495,0.505468689,2.874033349
Dec 2020,4.123999653,0.534930955,2.910525772
Jan 2021,4.129524367,0.535387921,2.919142676
Feb 2021,4.140173098,0.541821441,2.91776522
Mar 2021,4.117256171,0.495697931,2.873207518
Apr 2021,4.114410236,0.462206907,2.787321418
May 2021,4.174426817,0.514812387,2.83877168
Jun 2021,4.141945214,0.521317336,2.844155351
Jul 2021,4.062891953,0.475127834,2.792267878
Aug 2021,4.082353141,0.515686812,2.761658802
Sep 2021,4.078038836,0.520634003,2.767359696
Oct 2021,4.068158328,0.49731768,2.750286227
Nov 2021,4.091614015,0.514838579,2.763348859
Dec 2021,4.121076412,0.538719312,2.782958046
